ts,name,cpu,mem
14:31:04,lucky-star-prometheus,0.75%,74.95MiB / 15.47GiB
14:31:04,lucky-star-zookeeper,0.15%,134.7MiB / 15.47GiB
14:31:06,lucky-star-wallet-service,294.56%,646.9MiB / 15.47GiB
14:31:06,lucky-star-gateway-service,80.49%,522.8MiB / 15.47GiB
14:31:06,lucky-star-game-service,195.00%,996.8MiB / 15.47GiB
14:31:06,lucky-star-member-service,0.46%,701.1MiB / 15.47GiB
14:31:06,lucky-star-admin-service,28.38%,661.3MiB / 15.47GiB
14:31:06,lucky-star-rank-service,20.02%,630.6MiB / 15.47GiB
14:31:06,lucky-star-notification-service,16.59%,344.2MiB / 15.47GiB
14:31:06,lucky-star-kafka-ui,0.10%,290.9MiB / 15.47GiB
14:31:06,lucky-star-postgres,98.20%,786.6MiB / 15.47GiB
14:31:06,lucky-star-redis,26.10%,14.02MiB / 15.47GiB
14:31:06,lucky-star-kafka,179.69%,1.315GiB / 15.47GiB
14:31:06,lucky-star-mysql,24.58%,599.8MiB / 15.47GiB
14:31:06,lucky-star-grafana,0.05%,57.82MiB / 15.47GiB
14:31:06,lucky-star-prometheus,1.10%,74.92MiB / 15.47GiB
14:31:06,lucky-star-zookeeper,0.11%,134.7MiB / 15.47GiB
14:31:08,lucky-star-wallet-service,329.55%,652.9MiB / 15.47GiB
14:31:08,lucky-star-gateway-service,82.38%,521.7MiB / 15.47GiB
14:31:08,lucky-star-game-service,207.47%,996.8MiB / 15.47GiB
14:31:08,lucky-star-member-service,0.33%,701MiB / 15.47GiB
14:31:08,lucky-star-admin-service,33.62%,660.8MiB / 15.47GiB
14:31:08,lucky-star-rank-service,19.26%,630.8MiB / 15.47GiB
14:31:08,lucky-star-notification-service,18.55%,343.4MiB / 15.47GiB
14:31:08,lucky-star-kafka-ui,0.15%,290.9MiB / 15.47GiB
14:31:08,lucky-star-postgres,104.35%,786.3MiB / 15.47GiB
14:31:08,lucky-star-redis,20.70%,13.29MiB / 15.47GiB
14:31:08,lucky-star-kafka,80.31%,1.235GiB / 15.47GiB
14:31:08,lucky-star-mysql,22.19%,600MiB / 15.47GiB
14:31:08,lucky-star-grafana,0.13%,58.07MiB / 15.47GiB
14:31:08,lucky-star-prometheus,0.51%,74.92MiB / 15.47GiB
14:31:08,lucky-star-zookeeper,0.11%,134.7MiB / 15.47GiB
14:31:11,lucky-star-wallet-service,360.66%,649.9MiB / 15.47GiB
14:31:11,lucky-star-gateway-service,81.31%,522.3MiB / 15.47GiB
14:31:11,lucky-star-game-service,198.83%,997.3MiB / 15.47GiB
14:31:11,lucky-star-member-service,0.54%,701MiB / 15.47GiB
14:31:11,lucky-star-admin-service,46.66%,661.6MiB / 15.47GiB
14:31:11,lucky-star-rank-service,20.78%,631.3MiB / 15.47GiB
14:31:11,lucky-star-notification-service,18.68%,344.1MiB / 15.47GiB
14:31:11,lucky-star-kafka-ui,0.15%,290.9MiB / 15.47GiB
14:31:11,lucky-star-postgres,108.05%,787.4MiB / 15.47GiB
14:31:11,lucky-star-redis,17.29%,14.08MiB / 15.47GiB
14:31:11,lucky-star-kafka,69.81%,1.236GiB / 15.47GiB
14:31:11,lucky-star-mysql,21.62%,599.3MiB / 15.47GiB
