ts,name,cpu,mem
14:25:42,lucky-star-mysql,18.97%,593.8MiB / 15.47GiB
14:25:42,lucky-star-grafana,0.10%,52.24MiB / 15.47GiB
14:25:42,lucky-star-prometheus,0.46%,65.42MiB / 15.47GiB
14:25:42,lucky-star-zookeeper,0.09%,134.4MiB / 15.47GiB
14:25:45,lucky-star-gateway-service,94.17%,489.7MiB / 15.47GiB
14:25:45,lucky-star-game-service,265.61%,984.3MiB / 15.47GiB
14:25:45,lucky-star-member-service,1.52%,701MiB / 15.47GiB
14:25:45,lucky-star-wallet-service,147.79%,832.3MiB / 15.47GiB
14:25:45,lucky-star-admin-service,30.68%,656.3MiB / 15.47GiB
14:25:45,lucky-star-rank-service,6.75%,629.5MiB / 15.47GiB
14:25:45,lucky-star-notification-service,25.70%,343.1MiB / 15.47GiB
14:25:45,lucky-star-kafka-ui,0.16%,282.3MiB / 15.47GiB
14:25:45,lucky-star-postgres,91.95%,789.2MiB / 15.47GiB
14:25:45,lucky-star-redis,21.98%,12.66MiB / 15.47GiB
14:25:45,lucky-star-kafka,129.50%,1.221GiB / 15.47GiB
14:25:45,lucky-star-mysql,25.37%,593.4MiB / 15.47GiB
14:25:45,lucky-star-grafana,0.06%,52.24MiB / 15.47GiB
14:25:45,lucky-star-prometheus,1.39%,65.84MiB / 15.47GiB
14:25:45,lucky-star-zookeeper,0.11%,134.4MiB / 15.47GiB
14:25:47,lucky-star-gateway-service,99.39%,519.1MiB / 15.47GiB
14:25:47,lucky-star-game-service,261.98%,985.1MiB / 15.47GiB
14:25:47,lucky-star-member-service,0.41%,701MiB / 15.47GiB
14:25:47,lucky-star-wallet-service,141.74%,831.7MiB / 15.47GiB
14:25:47,lucky-star-admin-service,34.66%,656.7MiB / 15.47GiB
14:25:47,lucky-star-rank-service,12.64%,629.7MiB / 15.47GiB
14:25:47,lucky-star-notification-service,25.71%,343.6MiB / 15.47GiB
14:25:47,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:25:47,lucky-star-postgres,96.51%,789.8MiB / 15.47GiB
14:25:47,lucky-star-redis,21.41%,12.91MiB / 15.47GiB
14:25:47,lucky-star-kafka,159.20%,1.22GiB / 15.47GiB
14:25:47,lucky-star-mysql,20.63%,593.9MiB / 15.47GiB
14:25:47,lucky-star-grafana,0.05%,52.24MiB / 15.47GiB
14:25:47,lucky-star-prometheus,0.56%,65.43MiB / 15.47GiB
14:25:47,lucky-star-zookeeper,0.19%,134.4MiB / 15.47GiB
14:25:49,lucky-star-gateway-service,103.31%,519.2MiB / 15.47GiB
14:25:49,lucky-star-game-service,289.03%,984.8MiB / 15.47GiB
14:25:49,lucky-star-member-service,0.32%,701MiB / 15.47GiB
14:25:49,lucky-star-wallet-service,156.15%,834.4MiB / 15.47GiB
14:25:49,lucky-star-admin-service,25.41%,656.4MiB / 15.47GiB
14:25:49,lucky-star-rank-service,9.82%,629.2MiB / 15.47GiB
14:25:49,lucky-star-notification-service,13.91%,343.1MiB / 15.47GiB
14:25:49,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:25:49,lucky-star-postgres,109.46%,800.4MiB / 15.47GiB
14:25:49,lucky-star-redis,18.62%,12.93MiB / 15.47GiB
14:25:49,lucky-star-kafka,147.86%,1.262GiB / 15.47GiB
14:25:49,lucky-star-mysql,19.74%,593.7MiB / 15.47GiB
14:25:49,lucky-star-grafana,0.12%,52.24MiB / 15.47GiB
14:25:49,lucky-star-prometheus,0.00%,65.43MiB / 15.47GiB
14:25:49,lucky-star-zookeeper,1.27%,134.4MiB / 15.47GiB
14:25:51,lucky-star-gateway-service,104.30%,519.5MiB / 15.47GiB
14:25:51,lucky-star-game-service,247.19%,985.5MiB / 15.47GiB
14:25:51,lucky-star-member-service,0.42%,701MiB / 15.47GiB
14:25:51,lucky-star-wallet-service,141.58%,834.1MiB / 15.47GiB
14:25:51,lucky-star-admin-service,33.50%,656.8MiB / 15.47GiB
14:25:51,lucky-star-rank-service,5.22%,629.7MiB / 15.47GiB
14:25:51,lucky-star-notification-service,23.71%,342.9MiB / 15.47GiB
14:25:51,lucky-star-kafka-ui,0.11%,282.3MiB / 15.47GiB
14:25:51,lucky-star-postgres,102.61%,802.4MiB / 15.47GiB
14:25:51,lucky-star-redis,20.67%,13.13MiB / 15.47GiB
14:25:51,lucky-star-kafka,140.53%,1.289GiB / 15.47GiB
14:25:51,lucky-star-mysql,19.68%,594.5MiB / 15.47GiB
14:25:51,lucky-star-grafana,0.07%,52.24MiB / 15.47GiB
14:25:51,lucky-star-prometheus,1.47%,65.86MiB / 15.47GiB
14:25:51,lucky-star-zookeeper,0.10%,134.4MiB / 15.47GiB
14:25:53,lucky-star-gateway-service,95.64%,520MiB / 15.47GiB
14:25:53,lucky-star-game-service,227.77%,985.4MiB / 15.47GiB
14:25:53,lucky-star-member-service,0.39%,701MiB / 15.47GiB
14:25:53,lucky-star-wallet-service,147.33%,834MiB / 15.47GiB
14:25:53,lucky-star-admin-service,35.46%,656.7MiB / 15.47GiB
14:25:53,lucky-star-rank-service,12.66%,629.4MiB / 15.47GiB
14:25:53,lucky-star-notification-service,22.24%,343.2MiB / 15.47GiB
14:25:53,lucky-star-kafka-ui,0.12%,282.3MiB / 15.47GiB
14:25:53,lucky-star-postgres,100.96%,803.4MiB / 15.47GiB
14:25:53,lucky-star-redis,20.60%,13.09MiB / 15.47GiB
14:25:53,lucky-star-kafka,189.39%,1.325GiB / 15.47GiB
14:25:53,lucky-star-mysql,21.05%,594.3MiB / 15.47GiB
14:25:53,lucky-star-grafana,0.06%,52.24MiB / 15.47GiB
14:25:53,lucky-star-prometheus,1.00%,65.43MiB / 15.47GiB
14:25:53,lucky-star-zookeeper,0.10%,134.4MiB / 15.47GiB
14:25:55,lucky-star-gateway-service,97.70%,519.3MiB / 15.47GiB
14:25:55,lucky-star-game-service,238.25%,986.9MiB / 15.47GiB
14:25:55,lucky-star-member-service,4.48%,701MiB / 15.47GiB
14:25:55,lucky-star-wallet-service,143.66%,833.9MiB / 15.47GiB
14:25:55,lucky-star-admin-service,35.05%,657MiB / 15.47GiB
14:25:55,lucky-star-rank-service,15.48%,629.7MiB / 15.47GiB
14:25:55,lucky-star-notification-service,22.66%,343.2MiB / 15.47GiB
14:25:55,lucky-star-kafka-ui,0.09%,282.3MiB / 15.47GiB
14:25:55,lucky-star-postgres,95.50%,804.3MiB / 15.47GiB
14:25:55,lucky-star-redis,23.55%,12.62MiB / 15.47GiB
14:25:55,lucky-star-kafka,101.78%,1.263GiB / 15.47GiB
14:25:55,lucky-star-mysql,26.79%,593.6MiB / 15.47GiB
14:25:55,lucky-star-grafana,0.06%,52.24MiB / 15.47GiB
14:25:55,lucky-star-prometheus,1.26%,65.44MiB / 15.47GiB
14:25:55,lucky-star-zookeeper,0.10%,134.4MiB / 15.47GiB
14:25:57,lucky-star-gateway-service,98.58%,519.4MiB / 15.47GiB
14:25:57,lucky-star-game-service,298.57%,986.1MiB / 15.47GiB
14:25:57,lucky-star-member-service,0.34%,701.3MiB / 15.47GiB
14:25:57,lucky-star-wallet-service,139.60%,834.1MiB / 15.47GiB
14:25:57,lucky-star-admin-service,35.93%,656.8MiB / 15.47GiB
14:25:57,lucky-star-rank-service,5.79%,629.4MiB / 15.47GiB
14:25:57,lucky-star-notification-service,26.79%,343.2MiB / 15.47GiB
14:25:57,lucky-star-kafka-ui,0.08%,282.3MiB / 15.47GiB
14:25:57,lucky-star-postgres,95.17%,804.4MiB / 15.47GiB
14:25:57,lucky-star-redis,23.06%,12.84MiB / 15.47GiB
14:25:57,lucky-star-kafka,80.03%,1.264GiB / 15.47GiB
14:25:57,lucky-star-mysql,20.15%,594.4MiB / 15.47GiB
14:25:57,lucky-star-grafana,0.07%,52.24MiB / 15.47GiB
14:25:57,lucky-star-prometheus,0.50%,65.43MiB / 15.47GiB
14:25:57,lucky-star-zookeeper,0.10%,134.4MiB / 15.47GiB
14:25:59,lucky-star-gateway-service,105.31%,519.6MiB / 15.47GiB
14:25:59,lucky-star-game-service,258.39%,985.6MiB / 15.47GiB
14:25:59,lucky-star-member-service,1.59%,701MiB / 15.47GiB
14:25:59,lucky-star-wallet-service,162.52%,833.8MiB / 15.47GiB
14:25:59,lucky-star-admin-service,38.91%,657.4MiB / 15.47GiB
14:25:59,lucky-star-rank-service,11.13%,629.2MiB / 15.47GiB
14:25:59,lucky-star-notification-service,30.45%,343.4MiB / 15.47GiB
14:25:59,lucky-star-kafka-ui,0.09%,282.3MiB / 15.47GiB
14:25:59,lucky-star-postgres,109.23%,807MiB / 15.47GiB
14:25:59,lucky-star-redis,22.43%,12.67MiB / 15.47GiB
14:25:59,lucky-star-kafka,82.38%,1.264GiB / 15.47GiB
14:25:59,lucky-star-mysql,21.44%,595.2MiB / 15.47GiB
14:25:59,lucky-star-grafana,0.06%,52.24MiB / 15.47GiB
14:25:59,lucky-star-prometheus,0.58%,65.43MiB / 15.47GiB
14:25:59,lucky-star-zookeeper,0.13%,134.4MiB / 15.47GiB
14:26:01,lucky-star-gateway-service,114.19%,519.8MiB / 15.47GiB
14:26:01,lucky-star-game-service,267.87%,986.9MiB / 15.47GiB
14:26:01,lucky-star-member-service,0.47%,701.1MiB / 15.47GiB
14:26:01,lucky-star-wallet-service,156.32%,833.5MiB / 15.47GiB
14:26:01,lucky-star-admin-service,33.83%,657.3MiB / 15.47GiB
14:26:01,lucky-star-rank-service,3.72%,629.2MiB / 15.47GiB
14:26:01,lucky-star-notification-service,27.41%,343.9MiB / 15.47GiB
14:26:01,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:26:01,lucky-star-postgres,111.64%,808.4MiB / 15.47GiB
14:26:01,lucky-star-redis,24.34%,12.89MiB / 15.47GiB
14:26:01,lucky-star-kafka,79.33%,1.263GiB / 15.47GiB
14:26:01,lucky-star-mysql,18.74%,594.2MiB / 15.47GiB
14:26:01,lucky-star-grafana,0.07%,52.24MiB / 15.47GiB
14:26:01,lucky-star-prometheus,0.50%,65.43MiB / 15.47GiB
14:26:01,lucky-star-zookeeper,0.10%,134.4MiB / 15.47GiB
14:26:03,lucky-star-gateway-service,109.74%,519.4MiB / 15.47GiB
14:26:03,lucky-star-game-service,248.33%,986.3MiB / 15.47GiB
14:26:03,lucky-star-member-service,0.27%,701.1MiB / 15.47GiB
14:26:03,lucky-star-wallet-service,154.85%,834.9MiB / 15.47GiB
14:26:03,lucky-star-admin-service,33.61%,656.4MiB / 15.47GiB
14:26:03,lucky-star-rank-service,12.20%,629.2MiB / 15.47GiB
14:26:03,lucky-star-notification-service,23.56%,343.4MiB / 15.47GiB
14:26:03,lucky-star-kafka-ui,0.10%,282.3MiB / 15.47GiB
14:26:03,lucky-star-postgres,105.51%,809.4MiB / 15.47GiB
14:26:03,lucky-star-redis,22.49%,13.54MiB / 15.47GiB
14:26:03,lucky-star-kafka,79.70%,1.264GiB / 15.47GiB
14:26:03,lucky-star-mysql,20.42%,594.4MiB / 15.47GiB
14:26:03,lucky-star-grafana,0.04%,52.24MiB / 15.47GiB
14:26:03,lucky-star-prometheus,0.56%,65.43MiB / 15.47GiB
14:26:03,lucky-star-zookeeper,0.10%,134.4MiB / 15.47GiB
14:26:05,lucky-star-gateway-service,100.37%,519.8MiB / 15.47GiB
14:26:05,lucky-star-game-service,225.09%,986.2MiB / 15.47GiB
14:26:05,lucky-star-member-service,5.04%,701.1MiB / 15.47GiB
14:26:05,lucky-star-wallet-service,148.62%,835MiB / 15.47GiB
14:26:05,lucky-star-admin-service,29.91%,657.4MiB / 15.47GiB
14:26:05,lucky-star-rank-service,14.78%,629.2MiB / 15.47GiB
14:26:05,lucky-star-notification-service,21.37%,343.2MiB / 15.47GiB
14:26:05,lucky-star-kafka-ui,0.09%,282.3MiB / 15.47GiB
14:26:05,lucky-star-postgres,93.86%,808.8MiB / 15.47GiB
14:26:05,lucky-star-redis,21.67%,12.68MiB / 15.47GiB
14:26:05,lucky-star-kafka,140.44%,1.293GiB / 15.47GiB
14:26:05,lucky-star-mysql,27.37%,594.2MiB / 15.47GiB
14:26:05,lucky-star-grafana,0.07%,52.24MiB / 15.47GiB
14:26:05,lucky-star-prometheus,1.45%,65.09MiB / 15.47GiB
14:26:05,lucky-star-zookeeper,0.10%,134.4MiB / 15.47GiB
14:26:08,lucky-star-gateway-service,91.84%,518.9MiB / 15.47GiB
14:26:08,lucky-star-game-service,227.68%,985.2MiB / 15.47GiB
