ts,name,cpuPct,mem
2026-07-23T12:06:01,lucky-star-admin-service,1.38%,603.5MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-rank-service,0.83%,510.7MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-notification-service,0.73%,329.3MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-kafka-ui,0.12%,265.4MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-postgres,0.36%,383.2MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-redis,0.42%,8.461MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-kafka,3.79%,954.6MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-mysql,0.70%,507.9MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-grafana,0.08%,52.21MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-prometheus,2.43%,64.94MiB / 15.47GiB
2026-07-23T12:06:01,lucky-star-zookeeper,0.14%,133.4MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-gateway-service,0.22%,463.2MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-game-service,0.22%,674.8MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-member-service,0.39%,586.6MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-wallet-service,1.23%,750.3MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-admin-service,0.53%,604.1MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-rank-service,2.44%,509MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-notification-service,0.65%,329.5MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-kafka-ui,0.10%,265.4MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-postgres,3.23%,383.6MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-redis,0.51%,8.227MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-kafka,3.49%,953.8MiB / 15.47GiB
2026-07-23T12:06:07,lucky-star-mysql,0.59%,508.8MiB / 15.47GiB
